Number,Town,Designation,Established Year,Land area (square miles),Population (in 2010),County
128,Simsbury,Town,1670,33.88,"23,511",Hartford County
129,Somers,Town,1734,28.34,"11,444",Tolland County
130,South Windsor,Town,1845,27.96,"25,709",Hartford County
131,Southbury,Town,1787,39.06,"19,904",New Haven County
132,Southington,Town,1779,35.99,"43,069",Hartford County
133,Sprague,Town,1861,13.21,"2,984",New London County
134,Stafford,Town,1719,57.96,"12,087",Tolland County
135,Stamford,City,1641,37.75,"122,643",Fairfield County
136,Sterling,Town,1794,27.23,"3,830",Windham County
137,Stonington,Town,1662,38.69,"18,545",New London County
138,Stratford,Town,1639,17.59,"51,384",Fairfield County
139,Suffield,Town,1674,42.21,"15,735",Hartford County
140,Thomaston,Town,1875,12.01,"7,887",Litchfield County
141,Thompson,Town,1785,46.94,"9,458",Windham County
142,Tolland,Town,1715,39.71,"15,052",Tolland County
143,Torrington,City,1740,39.79,"36,383",Litchfield County
144,Trumbull,Town,1797,23.29,"36,018",Fairfield County
145,Union,Town,1734,28.71,854,Tolland County
146,Vernon,Town,1808,17.73,"29,179",Tolland County
147,Voluntown,Town,1721,38.92,"2,603",New London County
148,Wallingford,Town,1670,39.02,"45,135",New Haven County
149,Warren,Town,1786,26.31,"1,461",Litchfield County
150,Washington,Town,1779,38.19,"3,578",Litchfield County
151,Waterbury,City,1686,28.57,"110,366",New Haven County
152,Waterford,Town,1801,32.75,"19,517",New London County
153,Watertown,Town,1780,29.15,"22,514",Litchfield County
154,West Hartford,Town,1854,21.98,"63,268",Hartford County
155,West Haven,City,1921,10.84,"55,564",New Haven County
156,Westbrook,Town,1840,15.72,"6,938",Middlesex County
157,Weston,Town,1787,19.8,"10,179",Fairfield County
158,Westport,Town,1835,20.01,"26,391",Fairfield County
159,Wethersfield,Town,1634,12.39,"26,668",Hartford County
160,Willington,Town,1727,33.27,"6,041",Tolland County
161,Wilton,Town,1802,26.95,"18,062",Fairfield County
162,Winchester,Town,1771,32.28,"11,242",Litchfield County
163,Windham,Town,1692,27.07,"25,268",Windham County
164,Windsor,Town,1633,29.63,"29,044",Hartford County
165,Windsor Locks,Town,1854,9.03,"12,498",Hartford County
166,Wolcott,Town,1796,20.43,"16,680",New Haven County
167,Woodbridge,Town,1784,18.83,"8,990",New Haven County
168,Woodbury,Town,1673,36.47,"9,975",Litchfield County
169,Woodstock,Town,1686,60.54,"7,964",Windham County
